id;tmdb_score
ts104401;Ragnarok;SHOW;A small Norwegian town experiencing warm winters and violent downpours seems to be headed for Ragnarok -- unless someone intervenes in time.;2020;TV-MA;47;['thriller', 'action', 'drama', 'fantasy', 'scifi'];['NO'];2.000000;36863.000000;118.363998;8.067000;8.067000
ts104449;The Liberator;SHOW;The true story of one of the bloodiest battles of World War II.;2020;TV-MA;49;['action', 'drama', 'war', 'animation'];['US'];1.000000;6128.000000;19.173000;7.100000;7.100000
ts104483;Typewriter;SHOW;Three young friends in Goa plan to search an old villa for ghosts, but when a new family moves in, the home's buried past resurfaces in chilling ways.;2019;TV-MA;50;['thriller', 'horror', 'drama'];['IN'];1.000000;3887.000000;7.080000;6.600000;6.600000
ts104485;The Stranded;SHOW;When a tsunami strands dozens of teens on an island at their private school, they soon realize no rescuers are coming and they must save themselves.;2019;TV-MA;49;['drama', 'action'];['TH'];1.000000;1279.000000;14.772000;7.200000;7.200000
ts104499;Trese;SHOW;Set in Manila where the mythical creatures of Philippine folklore live in hiding amongst humans, Alexandra Trese finds herself going head to head with a criminal underworld comprised of malevolent supernatural beings.;2021;TV-MA;29;['horror', 'scifi', 'thriller', 'action', 'crime', 'fantasy', 'animation'];['PH'];1.000000;3803.000000;20.878000;7.400000;7.400000
ts104840;Skylines;SHOW;In Frankfurt, A young, talented hip-hop producer in Germany signs with a record label where he finds that the worlds of music and organized crime collide.;2019;TV-MA;57;['crime', 'drama', 'music', 'documentation', 'reality'];['DE'];1.000000;2658.000000;3.678000;7.100000;7.100000
ts105047;To the Lake;SHOW;A terrible plague strikes and a group decides to risk their lives. Humanity struggles to survive as they face the end of their civilization.;2019;TV-MA;51;['thriller', 'drama', 'scifi'];['RU'];2.000000;12713.000000;13.757000;7.500000;7.500000
ts105542;The Baker and the Beauty;SHOW;A blue-collar baker strikes up a relationship with an international superstar. US version of the Israeli romantic comedy series 'The Baker and the Beauty'.;2020;TV-14;32;['comedy', 'drama', 'romance'];['US'];1.000000;4270.000000;8.545000;8.100000;8.100000
ts105589;Rhyme Time Town;SHOW;Two best friends find fun and adventure while living in Rhyme Time Town, a fantastical place filled with beloved nursery rhyme characters.;2020;TV-Y;21;['animation', 'comedy', 'family'];['US'];2.000000;78.000000;3.171000;8.200000;8.200000
ts105601;Archibald's Next Big Thing;SHOW;The adventures of a care-free Chicken named Archibald.;2019;TV-Y7;23;['family', 'fantasy', 'scifi', 'animation', 'comedy', 'action'];['US'];2.000000;289.000000;6.453000;8.000000;8.000000
ts105608;Puerta 7;SHOW;"An unflinching exploration of Argentina's infamous soccer ""barra bravas,"" bare torso-ed soccer fans feared by the public and even police responsible for fatalities at soccer matches.";2020;TV-MA;41;['crime', 'drama', 'thriller'];['AR'];1.000000;560.000000;6.190000;7.100000;7.100000
ts105645;Historical Roasts;SHOW;"""Roastmaster General"" Jeff Ross and a slew of guest stars poke fun at major historical figures while also honoring their enduring impact on the world.";2019;TV-MA;29;['comedy'];['US'];1.000000;1716.000000;1.408000;5.600000;5.600000
ts105825;The Valhalla Murders;SHOW;Police profiler Arnar is sent back home from Oslo to his native Iceland to investigate the country's first serial killer case. He teams up with the local senior cop Kata.;2019;TV-MA;47;['crime', 'drama', 'thriller', 'scifi'];['IS'];1.000000;13467.000000;11.145000;6.800000;6.800000
ts106015;Kengan Ashura;SHOW;A timid old man is summoned by his chairman to become the manager of Tokita Ohma, a highly skilled gladiator who only cares about fighting and winning in the Kengan matches.;2019;TV-MA;25;['animation', 'action', 'sport'];['JP'];2.000000;4869.000000;85.139999;8.300000;8.300000
ts106126;The Bonfire of Destiny;SHOW;After a devastating fire in 1897 Paris, three women find their lives upended by betrayal, deception, and romantic turmoil. Inspired by real events.;2019;TV-MA;50;['drama', 'history'];['FR'];1.000000;4560.000000;10.260000;7.400000;7.400000
ts106141;The Chosen One;SHOW;Determined to bring a Zika vaccine to the remote Pantanal, three doctors clash with a faith healer and are pulled deeper into the mysteries of his cult.;2019;TV-MA;44;['thriller', 'drama'];['BR'];2.000000;701.000000;7.873000;8.200000;8.200000
ts106536;White Lines;SHOW;A woman tries to solve the mysterious death of her brother, a famous DJ who disappeared from Ibiza many years ago.;2020;TV-MA;55;['drama', 'thriller', 'crime'];['GB'];1.000000;16768.000000;14.393000;6.800000;6.800000
ts107724;The Defeated;SHOW;Max McLaughlin is an American cop who arrives in Berlin in the summer of 1946 to help create a police force in the chaotic aftermath of the war.;2020;TV-MA;55;['history', 'thriller', 'drama'];['DE'];1.000000;5902.000000;7.002000;6.846000;6.846000
ts108042;Maya and the Three;SHOW;A Mesoamerican warrior princess embarks on a quest to recruit three legendary fighters to help save the world of gods and humankind.;2021;TV-Y7;131;['comedy', 'drama', 'family', 'fantasy', 'animation', 'action'];['MX'];1.000000;3780.000000;51.341000;7.800000;7.800000
ts108385;Inventing Anna;SHOW;A journalist with a lot to prove investigates the case of Anna Delvey, the Instagram-legendary German heiress who stole the hearts of New York’s social scene – and stole their money as well.;2022;TV-MA;68;['drama'];['US'];1.000000;61061.000000;74.875999;6.800000;6.800000
ts108392;The Letter for the King;SHOW;Tiuri, a teenage squire, answers a call for help that sends him on a perilous mission across the three kingdoms to deliver a secret letter to the King.;2020;TV-PG;47;['action', 'family', 'fantasy', 'scifi'];['GB'];1.000000;7468.000000;8.039000;7.100000;7.100000
ts108593;The Unsettling;SHOW;Becca, a 16-year-old girl, arrives at her new foster home located in a remote area. Her foster siblings are less than welcoming but none more so than the 11-year-old biological son of their foster parents. Becca tries to keep to herself and adjust to her new home, but strange things start to happen around her, and Becca is uncertain about who or what is responsible.;2019;TV-14;23;['crime', 'fantasy', 'horror', 'scifi', 'thriller'];['US'];1.000000;717.000000;7.614000;6.700000;6.700000
ts108621;Sky Rojo;SHOW;Coral, Wendy, and Gina go on the run in search of freedom while being chased by Romeo, their pimp from Las Novias Club, and his henchmen, Moises and Christian.;2021;TV-MA;27;['drama', 'thriller', 'action', 'crime'];['ES'];3.000000;8706.000000;39.825001;7.700000;7.700000
ts110635;Luna Nera;SHOW;A group of women are suspected of witchcraft in 17th century Italy.;2020;TV-MA;45;['drama', 'fantasy', 'thriller', 'scifi'];['IT'];1.000000;2996.000000;17.252001;7.700000;7.700000
ts110637;Mortel;SHOW;A group of French teenagers are bound together by a supernatural force.;2019;TV-MA;52;['horror', 'scifi', 'crime', 'drama', 'fantasy'];['FR'];2.000000;1452.000000;8.205000;7.500000;7.500000
ts111206;Fast & Furious Spy Racers;SHOW;A government agency recruits teen driver Tony Toretto and his thrill-seeking friends to infiltrate a criminal street racing circuit as undercover spies.;2019;TV-Y7;24;['family', 'animation', 'action', 'drama', 'comedy', 'crime'];['US'];6.000000;1467.000000;57.898998;6.946000;6.946000
ts11188;The Flash;SHOW;"After a particle accelerator causes a freak storm, CSI Investigator Barry Allen is struck by lightning and falls into a coma. Months later he awakens with the power of super speed, granting him the ability to move through Central City like an unseen guardian angel. Though initially excited by his newfound powers, Barry is shocked to discover he is not the only ""meta-human"" who was created in the wake of the accelerator explosion -- and not everyone is using their new powers for good. Barry partners with S.T.A.R. Labs and dedicates his life to protect the innocent. For now, only a few close friends and associates know that Barry is literally the fastest man alive, but it won't be long before the world learns what Barry Allen has become...The Flash.";2014;TV-14;42;['drama', 'scifi', 'family', 'animation', 'action'];['US'];8.000000;341393.000000;537.156006;7.800000;7.800000
ts112667;Go! Go! Cory Carson;SHOW;Based on the Go. Go. toy line from VTech, children's series follows the adventures of Cory Carson.;2020;TV-Y;9;['comedy', 'family', 'animation'];['US'];6.000000;242.000000;7.048000;8.700000;8.700000
ts112733;Bard of Blood;SHOW;"Political espionage thriller based on ""Bard of Blood,"" by Bilal Siddiqi.";2019;TV-MA;44;['action', 'drama', 'thriller'];['IN'];2.000000;13005.000000;4.509000;7.400000;7.400000
ts113031;Droppin' Cash: Los Angeles;SHOW;Ball out with your favorite artists and athletes in LA as they drop crazy cash on the stuff we all dream about.;2018;TV-MA;23;['reality'];[];2.000000;117.000000;1.274000;5.500000;5.500000
ts113109;Numberblocks;SHOW;Learning numbers and how to count with colourful personified blocks, each with their own quirks.;2017;TV-Y;5;['animation'];['GB'];5.000000;212.000000;10.667000;9.500000;9.500000
ts11313;DEATH NOTE;SHOW;Light Yagami is an ace student with great prospects—and he’s bored out of his mind. But all that changes when he finds the Death Note, a notebook dropped by a rogue Shinigami death god. Any human whose name is written in the notebook dies, and Light has vowed to use the power of the Death Note to rid the world of evil. But will Light succeed in his noble goal, or will the Death Note turn him into the very thing he fights against?;2006;TV-14;24;['animation', 'thriller', 'scifi', 'drama', 'fantasy', 'crime'];['JP'];1.000000;309445.000000;120.544998;8.664000;8.664000
ts113506;The Last Czars;SHOW;A Chronicled look at the fall of the Romanov dynasty in Russia.;2019;TV-MA;45;['romance', 'documentation', 'drama', 'history', 'war'];['GB'];1.000000;8248.000000;9.163000;7.400000;7.400000
ts113637;The Alcàsser Murders;SHOW;True crime documentary examining one of the most controversial crimes in Spanish history.;2019;TV-MA;61;['documentation', 'crime'];['ES'];1.000000;2127.000000;7.573000;7.400000;7.400000
ts113748;Twelve Forever;SHOW;Reggie's dream is to be a kid forever. Her dream is so powerful that it creates its own fantasy world of perpetual youth.;2019;TV-PG;14;['family', 'fantasy', 'animation', 'action', 'comedy'];['US'];1.000000;682.000000;3.485000;6.600000;6.600000
ts113842;Giri/Haji;SHOW;A detective from Tokyo scours London for his missing brother, who's been involved with the Yakuza and accused of murder.;2019;TV-MA;58;['drama', 'thriller', 'crime'];['GB'];1.000000;14008.000000;14.215000;7.700000;7.700000
ts11397;Adventures of Sonic the Hedgehog;SHOW;Follow the adventures of Sonic the Hedgehog, and his sidekick Tails, as they attempt to stop Dr. Robotnik and his array of robots from taking over the planet Mobius.;1993;TV-Y7;22;['scifi', 'animation', 'action', 'comedy', 'family', 'fantasy', 'western'];['US'];4.000000;3902.000000;13.313000;6.300000;6.300000
ts11670;The Adventures of Puss in Boots;SHOW;The world's greatest feline fighter, lover and milk connoisseur is back in this original series filled with daring adventures, great boots, and laugh-out-loud fun! The entire family will be entranced by Puss' fantastical CG world filled with new characters, exotic locations and mystical tales that make up the stuff of legends. There's nothing that can get in this celebrated swashbuckling kitty's way...except maybe a hairball.;2015;TV-Y7;23;['comedy', 'family', 'animation', 'action', 'fantasy', 'western'];['US'];6.000000;1726.000000;22.766001;6.900000;6.900000
ts116814;The Twelve;SHOW;Twelve ordinary people are called for jury duty for a murder case as traumatizing as it is controversial in which a woman stands trial for killing her own blood.;2019;TV-MA;48;['thriller', 'drama'];['BE'];1.000000;5174.000000;9.883000;7.000000;7.000000
ts11794;The Cat in the Hat Knows a Lot About That!;SHOW;The Cat in the Hat is back -- and this time, he's teaching Sally and her brother, Nick, some awfully nifty things to think about!;2013;TV-Y;19;['animation', 'family', 'fantasy', 'scifi', 'comedy'];['CA', 'US', 'GB'];3.000000;634.000000;5.109000;7.800000;7.800000
ts121176;DreamWorks Shrek's Swamp Stories;SHOW;Shrek and his pals have a series of adventures.;2010;TV-PG;24;['comedy', 'family', 'fantasy', 'horror', 'music', 'animation', 'scifi'];['US'];1.000000;346.000000;5.014000;8.800000;8.800000
ts121489;Two Sentence Horror Stories;SHOW;This anthology series of terror features diverse characters facing primal fears in spine-chilling situations that stretch past daily routine.;2017;TV-14;22;['drama', 'horror', 'thriller'];['US'];4.000000;1900.000000;8.441000;5.600000;5.600000
ts122290;Dharmakshetra;SHOW;After the end of 18 days war of Mahabharata, Pandavas and Kauravas reach the court of Chitragupta where they have to answer their actions of their past life. In each episode one of the character takes the centre stage to answer the questions asked by Chitragupta on behalf of the others.;2014;TV-14;44;['drama'];['IN'];1.000000;273.000000;1.243000;10.000000;10.000000
ts12701;Code Lyoko;SHOW;Code Lyoko centers on four children who travel to the virtual world of Lyoko to battle against a sentient artificial intelligence named XANA, with a virtual human called Aelita.;2003;TV-G;24;['action', 'animation', 'comedy', 'thriller', 'scifi', 'family', 'romance', 'fantasy'];['FR'];5.000000;5165.000000;9.597000;7.700000;7.700000
ts12724;30 Rock;SHOW;Liz Lemon, the head writer for a late-night TV variety show in New York, tries to juggle all the egos around her while chasing her own dream.;2006;TV-14;25;['comedy', 'sport'];['US'];7.000000;122698.000000;48.880001;7.400000;7.400000
ts127430;StoryBots Super Songs;SHOW;"Based on the award-winning educational apps, ""StoryBots Super Songs"" centers on the StoryBots, the curious little creatures who live in the world beneath our screens and help answer humans' biggest questions.";2016;TV-Y;21;['animation', 'family'];['US'];1.000000;170.000000;0.600000;9.000000;9.000000
ts12787;Code Geass: Lelouch of the Rebellion;SHOW;Japan has been invaded and conquered by the Britannian Empire. Japan is now known as Area 11 and its citizens known as Elevens. The Britannian Empire takes away Japan's autonomous power and imposes its rule through the use of Knightmares. The Empire's rule has never faltered, but cracks have begun to show...;2006;TV-14;24;['scifi', 'action', 'animation', 'drama', 'war', 'thriller'];['JP'];3.000000;62367.000000;35.011002;8.493000;8.493000
ts12815;Big Time Rush;SHOW;Four teenage friends move from Minneapolis to Los Angeles to form a potential chart-topping boy band after Kendall is inadvertently discovered by an eccentric record executive, Gustavo Rocque. As they seize this opportunity of a lifetime, these friends embark on an exciting comedy and music-filled journey to prove to themselves and their record label that they are serious about their new career choice.;2009;TV-G;25;['family', 'comedy'];['US'];4.000000;12288.000000;55.706001;8.774000;8.774000
